EVENT_NO_TRIP,EVENT_NO_STOP,OPD_DATE,VEHICLE_ID,METERS,ACT_TIME,GPS_LONGITUDE,GPS_LATITUDE,GPS_SATELLITES,GPS_HDOP
259172515,259172517,15FEB2023:00:00:00,4223,40,20469,-122.648137,45.493082,12,0.7
259172515,259172517,15FEB2023:00:00:00,4223,48,20474,-122.64824,45.49307,12,0.8
259172515,259172517,15FEB2023:00:00:00,4223,57,20479,-122.648352,45.493123,12,0.8
259172515,259172517,15FEB2023:00:00:00,4223,73,20484,-122.648385,45.493262,12,0.7
259172515,259172517,15FEB2023:00:00:00,4223,112,20489,-122.648347,45.493582,12,0.8
259172515,259172517,15FEB2023:00:00:00,4223,159,20494,-122.648357,45.494003,11,0.8
259172515,259172517,15FEB2023:00:00:00,4223,215,20499,-122.648383,45.49451,12,0.7
259172515,259172517,15FEB2023:00:00:00,4223,272,20504,-122.648375,45.495023,12,0.7
259172515,259172517,15FEB2023:00:00:00,4223,330,20509,-122.64833,45.495555,12,0.7
259172515,259172517,15FEB2023:00:00:00,4223,391,20514,-122.648213,45.496103,12,0.7
259172515,259172517,15FEB2023:00:00:00,4223,451,20519,-122.648102,45.496643,12,0.7
259172515,259172517,15FEB2023:00:00:00,4223,509,20524,-122.648045,45.497163,12,0.7
259172515,259172517,15FEB2023:00:00:00,4223,566,20529,-122.647997,45.497683,12,0.7
259172515,259172518,15FEB2023:00:00:00,4223,690,20539,-122.648177,45.498777,12,0.7
259172515,259172518,15FEB2023:00:00:00,4223,760,20544,-122.648615,45.499327,9,0.9
259172515,259172518,15FEB2023:00:00:00,4223,826,20549,-122.64904,45.499855,12,0.8
259172515,259172518,15FEB2023:00:00:00,4223,883,20554,-122.649463,45.500278,12,0.8
259172515,259172518,15FEB2023:00:00:00,4223,942,20559,-122.650157,45.50044,12,0.8
259172515,259172518,15FEB2023:00:00:00,4223,1009,20564,-122.650995,45.500522,12,0.8
259172515,259172518,15FEB2023:00:00:00,4223,1079,20569,-122.651863,45.5007,11,0.8
259172515,259172518,15FEB2023:00:00:00,4223,1148,20574,-122.652718,45.500885,11,0.9
259172515,259172518,15FEB2023:00:00:00,4223,1209,20579,-122.653465,45.501085,12,0.8
259172515,259172518,15FEB2023:00:00:00,4223,1256,20584,-122.654057,45.501213,12,0.8
259172515,259172518,15FEB2023:00:00:00,4223,1302,20589,-122.654632,45.501313,11,0.8
259172515,259172518,15FEB2023:00:00:00,4223,1356,20594,-122.655282,45.501462,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,1412,20599,-122.655983,45.501582,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,1457,20604,-122.656588,45.501622,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,1480,20609,-122.656845,45.50173,11,1
259172515,259172519,15FEB2023:00:00:00,4223,1496,20614,-122.656857,45.501885,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,1505,20619,-122.656845,45.501978,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,1524,20625,-122.656937,45.502112,11,1.3
259172515,259172519,15FEB2023:00:00:00,4223,1562,20629,-122.657417,45.502148,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,1578,20634,-122.657662,45.502145,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,1601,20639,-122.65793,45.502145,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,1644,20644,-122.658473,45.502147,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,1692,20649,-122.659088,45.502143,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,1741,20654,-122.659715,45.502125,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,1785,20659,-122.660298,45.50205,11,0.9
259172515,259172519,15FEB2023:00:00:00,4223,1817,20664,-122.66068,45.50214,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,1867,20669,-122.660765,45.502567,11,1
259172515,259172519,15FEB2023:00:00:00,4223,1933,20674,-122.660792,45.503155,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,2014,20679,-122.660815,45.503878,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,2100,20684,-122.660822,45.504658,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,2187,20689,-122.660822,45.505452,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,2271,20694,-122.660827,45.506223,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,2353,20699,-122.660837,45.506967,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,2426,20704,-122.660842,45.507647,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,2493,20709,-122.660845,45.508255,11,0.9
259172515,259172519,15FEB2023:00:00:00,4223,2549,20714,-122.660833,45.50878,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,2586,20719,-122.660818,45.509143,11,0.8
259172515,259172519,15FEB2023:00:00:00,4223,2612,20724,-122.660815,45.509368,11,0.8
